"","sid","st","streaming"
"1","CK",3,0.181818181818182
"2","CK",6,0.757575757575758
"3","CK",12,0.924242424242424
"4","EH",3,0.189393939393939
"5","EH",6,0.409090909090909
"6","EH",12,0.704545454545455
"7","HH",3,0.257575757575758
"8","HH",6,0.416666666666667
"9","HH",12,1
"10","MP",3,0.28030303030303
"11","MP",6,0.727272727272727
"12","MP",12,0.984848484848485
"13","NW",3,0.25
"14","NW",6,0.871212121212121
"15","NW",12,0.984848484848485
"16","RR",3,0.0757575757575758
"17","RR",6,0.507575757575758
"18","RR",12,0.848484848484849
"19","SB",3,0
"20","SB",6,0.454545454545455
"21","SB",12,0.984848484848485
"22","TC",3,0.0606060606060606
"23","TC",6,0.446969696969697
"24","TC",12,0.863636363636364
"25","TV",3,0.287878787878788
"26","TV",6,0.825757575757576
"27","TV",12,1
